Question Number,2025300001,2025300005,2025300006,2025300007,2025300010,2025300012,2025300020,2025300025
1,B,B,,,B,A,A,B
2,A,A,,A,A,B,,A
3,A,,A,C,C,A,C,A
4,,B,,,A,,,C
5,B,B,B,B,B,D,B,B
6,D,D,,D,D,D,D,D
7,B,B,B,B,B,D,D,B
8,C,C,,C,C,,,
9,C,B,,C,C,A,A,D
10,D,D,D,D,D,D,D,D
11,B,B,,B,B,B,B,D
12,D,D,D,D,D,D,D,D
13,D,D,,B,D,D,D,D
14,C,C,,C,B,C,C,C
15,C,B,B,C,C,,C,C
16,,C,,C,C,,C,C
17,C,C,C,C,C,,C,C
18,D,D,D,D,D,,,C
19,,B,,,,,,
20,C,C,C,C,C,,C,C
21,,A,A,C,A,A,C,C
22,,A,,,C,,,
23,,A,,,,,,C
24,,A,,B,D,C,C,D
25,D,A,,D,D,A,D,A
26,D,D,,D,D,D,D,D
27,C,D,D,C,D,A,B,C
28,A,C,D,C,C,A,D,B
29,,D,A,D,D,,,A
30,,B,B,B,B,,,B
31,,C,A,,C,,,C
32,B,B,B,B,B,B,B,B
33,,D,,C,C,,C,C
34,,A,,,,A,,
35,,,,,D,,,
36,,B,B,,B,,,B
37,A,B,D,A,A,,,D
38,A,A,A,A,A,,,A
39,,C,B,A,A,C,C,C
40,,A,,A,A,,,A
41,,B,B,,A,,A,A
42,A,D,B,A,A,,A,A
43,,D,D,B,D,,A,B
44,D,B,B,B,B,D,D,B
45,,A,C,C,A,,C,C
46,A,,D,A,A,B,,A
47,,A,A,D,A,A,,D
48,,C,A,,A,B,,
49,B,B,B,B,B,A,B,B
50,,B,,,B,,D,A
51,D,D,B,B,B,B,D,B
52,B,B,B,B,B,B,B,B
53,B,B,B,B,D,A,B,C
54,,D,D,A,D,A,A,A
55,,A,A,B,B,B,B,B
56,A,A,A,A,A,,C,C
57,B,B,B,B,B,B,D,B
58,,C,C,C,C,,B,
59,,B,,A,B,C,A,B
60,B,B,B,B,B,B,B,B
61,B,A,B,B,B,A,B,B
62,,D,D,D,A,A,D,D
63,,A,,,B,,,
64,,A,A,D,D,A,D,C
65,,D,,A,C,B,,D
66,B,B,B,B,B,B,B,B
67,,C,,,D,A,A,D
68,B,B,D,B,B,B,,C
69,D,B,D,D,D,B,D,D
70,,D,,A,D,A,,
71,C,C,C,C,C,D,C,C
72,B,D,D,D,B,B,B,
73,B,B,B,B,B,B,B,B
74,D,D,D,C,B,A,,
75,D,A,D,A,B,,,
76,A,A,A,A,A,D,A,A
77,D,D,D,D,D,D,D,D
78,C,C,C,C,C,C,B,C
79,A,A,A,A,A,A,A,A
80,B,B,B,B,B,B,B,B
81,B,B,B,B,B,B,B,B
82,,C,C,C,C,C,A,
83,D,D,D,D,D,,D,D
84,B,B,B,B,B,B,B,B
85,D,D,D,D,D,D,D,D
86,B,B,B,B,B,B,B,B
87,D,D,D,C,D,C,,D
88,B,B,B,B,C,B,,A
89,D,D,D,D,D,D,D,D
90,C,C,C,C,C,C,C,C
91,D,B,C,D,D,D,D,D
92,B,D,D,B,B,B,B,B
93,D,D,D,D,D,D,D,D
94,C,C,C,C,C,C,A,C
95,B,B,D,B,B,D,B,B
96,B,C,C,C,B,C,C,C
97,D,B,,D,D,D,C,D
98,D,D,D,D,D,D,D,D
99,A,A,D,A,A,A,A,D
100,B,B,B,B,B,B,B,B
101,B,B,D,B,D,D,C,D
102,C,C,C,C,C,C,C,C
103,B,A,A,B,B,C,B,B
104,A,A,A,A,A,A,A,A
105,A,C,C,A,A,A,,A
106,A,B,B,B,B,B,B,D
107,A,B,D,A,A,B,A,A
108,C,D,D,C,C,D,C,C
109,D,D,D,D,D,D,D,D
110,A,D,D,D,D,C,D,D
111,B,B,B,B,B,B,B,B
112,D,D,D,D,D,B,B,D
113,C,C,C,C,C,C,C,C
114,C,C,C,B,C,B,,C
115,C,C,C,C,C,C,,C
116,B,D,A,B,A,D,D,D
117,D,D,D,D,C,D,D,D
118,B,B,B,B,B,B,B,B
119,C,C,B,C,C,C,C,C
120,C,C,D,C,D,D,,D
121,A,C,C,C,C,C,C,C
122,B,B,B,B,B,B,B,B
123,B,B,B,B,B,B,B,B
124,A,A,A,A,A,A,A,D
125,C,C,D,C,C,C,C,D
126,B,B,B,B,B,B,B,B
127,B,B,B,B,B,B,B,B
128,A,A,A,A,A,A,A,A
129,A,A,A,A,A,A,A,A
130,D,D,D,B,D,D,D,
131,A,D,A,A,A,C,,
132,A,C,C,,D,A,,
133,B,B,B,B,B,B,B,B
134,D,D,D,D,D,D,D,A
135,C,C,C,C,C,C,C,C
136,C,C,C,C,C,C,C,C
137,A,A,C,A,A,A,A,A
138,B,B,B,B,A,B,B,B
139,C,C,C,C,C,C,C,C
140,A,D,A,A,A,A,A,A
141,C,A,A,A,A,A,A,A
142,D,A,D,D,B,D,D,A
143,B,C,D,A,D,C,D,C
144,A,A,A,A,A,A,A,A
145,C,C,A,A,A,A,C,C
146,B,B,B,B,B,B,B,B
147,B,D,B,B,B,B,B,B
148,A,A,A,A,A,A,A,A
149,A,A,A,A,A,A,D,A
150,B,B,B,A,A,B,A,A
151,C,C,B,C,C,C,B,B
152,D,D,C,D,D,D,D,D
153,B,B,B,B,B,B,B,B
