Question Number,2025300001,2025300002,2025300003,2025300004,2025300005,2025300007,2025300009,2025300010,2025300011,2025300012,2025300014,2025300019,2025300020,2025300021,2025300025
1,A,A,A,A,A,A,,A,A,D,,,D,,A
2,A,C,A,A,A,D,,A,D,,,D,A,,A
3,D,D,D,C,D,C,,D,,D,D,A,D,D,C
4,C,C,C,B,C,B,,B,C,,C,C,A,,C
5,A,D,A,B,A,B,,A,B,A,,A,D,D,D
6,C,C,C,C,C,B,,B,D,,,C,A,,B
7,,D,,A,,,,B,,,,,,,B
8,,C,C,B,C,B,,C,D,B,D,A,B,C,D
9,B,B,B,B,B,D,,B,B,B,,B,B,B,B
10,D,D,D,D,D,D,,A,,D,,,D,,D
11,,B,B,B,B,B,,B,,A,A,B,A,A,B
12,C,D,D,,,A,,D,D,,,A,,,C
13,D,D,A,B,D,D,,D,,,,A,,A,C
14,,C,B,,,B,,C,A,,,,A,,A
15,C,A,A,C,A,A,,C,B,C,,C,C,C,C
16,,B,A,,B,B,,B,,B,,,B,,B
17,A,A,D,A,A,A,,A,C,A,B,B,A,A,A
18,A,A,,,A,A,,A,C,,,C,A,A,B
19,D,D,,D,D,D,,D,,C,,,D,A,D
20,,C,,C,C,C,,D,C,,,A,A,C,C
21,B,B,,,B,B,,B,,,,A,B,C,D
22,D,B,,,D,D,B,D,,,,B,B,A,D
23,A,A,,A,A,A,A,A,A,A,,,B,A,A
24,B,C,,C,B,B,C,B,B,,,B,B,B,B
25,C,A,,,A,A,,B,,,C,A,,,
26,B,B,,,B,B,,B,B,,,,B,,B
27,D,D,,,D,D,,D,D,,,,,,D
28,C,C,,,C,,,C,C,B,,,C,B,C
29,D,D,,D,D,D,,D,,B,,B,D,,D
30,C,C,,C,A,A,,A,,,,,,C,C
31,A,A,,A,A,A,,A,,A,,A,A,,A
32,,B,,B,,,,B,,,,B,,,B
33,,C,C,C,C,D,,C,D,C,B,A,C,,A
34,,A,,D,C,D,,A,B,A,,C,B,,A
35,,D,,D,D,,,,,A,A,A,,,D
36,,C,,C,C,D,,C,,C,,C,C,,C
37,,B,,,,B,,B,,,,B,,,B
38,,C,,B,B,B,,B,,B,D,B,B,,B
39,,B,,D,A,A,,A,,,,B,A,,A
40,,A,B,,,,,A,,,,,,,
41,,C,,,C,,,,,,,,,,
42,,B,C,,,A,,B,,,,B,B,,B
43,A,,,A,A,A,,A,,A,,,A,,A
44,D,,D,D,D,D,,D,,,,,,,D
45,,,,C,A,,,A,C,C,,,B,,C
46,B,B,B,B,B,B,B,B,A,B,,,,D,B
47,C,C,D,C,D,,C,C,,C,,B,C,D,D
48,C,B,B,B,B,C,C,C,,C,,A,B,C,B
49,B,C,C,C,C,A,,B,,D,,B,C,A,C
50,C,C,C,C,C,C,D,C,C,C,,D,C,C,C
51,A,A,A,A,A,A,C,A,A,A,,A,A,A,A
52,C,C,A,A,A,C,A,C,A,A,,,B,C,C
53,B,B,B,B,B,B,A,B,,A,,B,A,B,B
54,,C,A,C,A,B,A,A,B,A,,B,C,C,C
55,D,D,A,A,A,,A,D,B,B,,,D,B,D
56,B,B,B,B,B,B,C,B,B,B,,B,B,B,B
57,,B,B,B,B,B,C,B,D,B,,B,B,B,B
58,C,C,C,C,C,D,C,C,,A,,D,D,C,C
59,A,A,A,A,A,A,B,A,D,A,,A,,A,D
60,,C,A,C,A,D,B,C,,,,,A,A,C
61,C,D,A,B,A,C,,D,A,,,C,A,A,C
62,D,D,D,D,D,D,,D,A,,,A,D,A,D
63,B,D,B,B,B,B,C,,B,B,,A,A,B,B
64,A,A,A,A,A,A,C,A,,B,,A,D,A,A
65,C,C,C,C,C,C,C,C,A,D,,,C,C,C
66,B,B,,B,B,,D,B,,,,B,B,C,C
67,B,A,B,B,B,A,,A,C,A,,C,A,A,D
68,C,C,C,B,C,C,,A,,C,C,C,,C,C
69,D,D,,D,D,D,,D,D,C,D,B,D,D,D
70,D,D,D,B,D,C,,A,D,D,,D,,D,D
71,A,D,A,A,A,A,,A,A,,,,,,A
72,,,,,A,,,A,,,,,,,D
73,A,A,A,B,A,C,,A,A,,,,B,A,A
74,D,D,D,,D,D,,D,D,,,D,D,A,D
75,D,C,C,C,C,C,,C,A,C,,B,,C,D
76,A,C,D,C,D,A,,A,C,C,A,C,C,,D
77,C,C,,C,A,,,C,,A,,,D,,C
78,B,B,,B,D,D,,D,B,D,B,A,,B,
79,A,A,A,C,A,A,,B,A,B,,D,B,A,A
80,,,,C,,,,C,D,,,D,,,C
81,,A,,B,D,,,C,,,,,,,A
82,,A,,,,,,A,B,,,D,,D,
83,B,B,B,B,B,B,,B,B,A,,A,B,B,B
84,B,B,B,B,B,B,,B,B,D,,,B,A,B
85,B,B,B,B,B,B,,B,B,B,B,B,B,B,B
86,C,C,,C,C,C,,C,A,C,,,C,D,C
87,A,A,,A,A,A,,A,C,A,B,C,A,A,B
88,A,D,D,D,D,D,,D,,B,A,D,D,D,D
89,,A,A,,A,C,,,A,,,A,,C,A
90,,D,,C,A,,,B,,A,,,,A,B
91,C,B,A,D,A,A,D,,,,,B,D,,C
92,B,B,A,B,A,D,B,,A,B,,D,B,B,D
93,D,D,C,,C,C,C,C,D,C,,C,,D,C
94,D,B,D,A,D,,,,,,,,D,B,D
95,D,D,D,D,D,,D,D,,D,,,C,A,D
96,D,C,B,D,B,A,,D,,,,,D,D,
97,B,B,D,D,D,D,D,B,D,D,,B,D,D,D
98,D,C,A,B,,A,B,B,B,B,,C,A,D,B
99,A,D,B,D,A,D,D,D,A,D,,D,B,B,D
100,B,B,B,B,B,B,B,B,C,B,B,B,B,B,B
101,B,C,C,C,B,B,C,C,B,A,,,B,B,B
102,C,B,D,C,C,C,,C,C,C,,,C,C,C
103,D,D,C,D,D,D,,D,D,D,,A,D,C,D
104,C,C,C,C,C,C,,C,B,C,B,C,C,C,C
105,C,C,B,C,C,C,,C,B,C,,D,C,C,C
106,B,B,A,B,B,B,,B,B,B,B,A,B,B,B
107,A,A,C,A,A,A,,A,B,B,,,B,A,A
108,B,B,C,B,C,B,,B,C,B,,B,B,C,B
109,C,C,A,C,C,C,,C,D,C,,C,C,C,C
110,B,A,B,A,A,A,,A,A,A,,A,B,A,A
111,C,B,C,B,B,B,,C,B,B,,C,B,B,B
112,C,B,C,C,C,D,,D,C,C,,C,D,C,D
113,C,C,B,C,C,C,,C,A,C,,C,C,C,C
114,A,B,,B,B,B,,A,B,A,,A,B,A,A
115,D,A,D,D,D,A,A,D,D,D,,A,D,D,D
116,C,C,C,C,C,C,C,C,A,C,,D,C,D,C
117,A,A,A,A,A,A,,A,B,A,A,B,A,A,A
118,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
119,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
120,A,D,A,A,A,A,B,A,A,A,A,A,A,A,A
121,D,D,A,B,A,D,B,D,D,D,,D,D,,D
122,D,D,D,D,D,D,D,C,D,D,,B,D,D,D
